title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       23308.852;         392.756;         425.138;         394.902;           6.033 (1.528 %);  11591.840
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;        3420.514;         392.096;         400.090;         393.141;           1.637 (0.416 %);  11643.741
