    title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
      IJK;         234.375;           0.229;           0.000;        100;         55;      710555.745;      758096.909;      725253.095;       12893.313 ( 1.778 %);    105.196
      IKJ;         234.375;           0.229;           0.000;        100;         55;      217625.345;      234256.800;      221873.642;        3616.827 ( 1.630 %);    343.862
      IEX;         234.375;           0.229;           0.000;        100;         55;      218543.545;      321753.327;      230154.652;       24808.138 (10.779 %);    331.490
  UNROLL4;         234.375;           0.229;           0.000;        100;         55;      374340.091;      391436.182;      380198.083;        4736.640 ( 1.246 %);    200.669
  UNROLL8;         234.375;           0.229;           0.000;        100;         55;      366771.982;      403023.855;      374879.483;        7925.474 ( 2.114 %);    203.516
    CBLAS;         234.375;           0.229;           0.000;        100;         55;       45078.073;       46785.109;       45745.277;         313.667 ( 0.686 %);   1667.799
