title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
IJK(O0);         234.375;           0.229;           0.000;        100;         55;     2720621.345;     2960556.509;     2779899.277;       63898.589 ( 2.299 %);     27.445
IJK(O1);         234.375;           0.229;           0.000;        100;         55;      755456.436;      804855.473;      773674.977;       12428.460 ( 1.606 %);     98.612
IJK(O2);         234.375;           0.229;           0.000;        100;         55;      710555.745;      758096.909;      725253.095;       12893.313 ( 1.778 %);    105.196
IJK(O3);         234.375;           0.229;           0.000;        100;         55;      707771.491;      745467.818;      717049.941;        7510.230 ( 1.047 %);    106.400
IJK(OFast);         234.375;           0.229;           0.000;        100;         55;      695630.000;      857224.018;      714693.087;       27113.978 ( 3.794 %);    106.751
