    title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
      IJK;         234.375;           0.229;           0.000;        100;         55;      755456.436;      804855.473;      773674.977;       12428.460 ( 1.606 %);     98.612
      IKJ;         234.375;           0.229;           0.000;        100;         55;      413705.527;      488481.636;      431138.714;       20627.102 ( 4.784 %);    176.959
      IEX;         234.375;           0.229;           0.000;        100;         55;      415757.564;      467011.509;      435680.545;       18354.678 ( 4.213 %);    175.114
  UNROLL4;         234.375;           0.229;           0.000;        100;         55;      367892.200;      405182.800;      388908.611;       12592.243 ( 3.238 %);    196.174
  UNROLL8;         234.375;           0.229;           0.000;        100;         55;      396792.782;      436819.691;      404640.341;        9904.749 ( 2.448 %);    188.548
    CBLAS;         234.375;           0.229;           0.000;        100;         55;       43776.527;       51671.727;       45581.425;        1861.986 ( 4.085 %);   1673.795
