title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
IKJ(O0);         234.375;           0.229;           0.000;        100;         55;     2464690.109;     2816614.564;     2518780.925;       59862.987 ( 2.377 %);     30.290
IKJ(O1);         234.375;           0.229;           0.000;        100;         55;      413705.527;      488481.636;      431138.714;       20627.102 ( 4.784 %);    176.959
IKJ(O2);         234.375;           0.229;           0.000;        100;         55;      217625.345;      234256.800;      221873.642;        3616.827 ( 1.630 %);    343.862
IKJ(O3);         234.375;           0.229;           0.000;        100;         55;      216303.982;      227714.964;      218805.077;        1879.248 ( 0.859 %);    348.685
IKJ(OFast);         234.375;           0.229;           0.000;        100;         55;      211058.345;      222575.400;      213942.955;        2611.921 ( 1.221 %);    356.609
