title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
CBLAS(O0);         234.375;           0.229;           0.000;        100;         55;       43731.382;       48023.873;       44347.882;         934.594 ( 2.107 %);   1720.352
CBLAS(O1);         234.375;           0.229;           0.000;        100;         55;       43776.527;       51671.727;       45581.425;        1861.986 ( 4.085 %);   1673.795
CBLAS(O2);         234.375;           0.229;           0.000;        100;         55;       45078.073;       46785.109;       45745.277;         313.667 ( 0.686 %);   1667.799
CBLAS(O3);         234.375;           0.229;           0.000;        100;         55;       42788.727;       46056.145;       43889.436;         862.837 ( 1.966 %);   1738.321
CBLAS(OFast);         234.375;           0.229;           0.000;        100;         55;       42666.418;       49841.945;       44171.859;        1928.628 ( 4.366 %);   1727.207
