    title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
      IJK;         234.375;           0.229;           0.000;        100;         55;      695630.000;      857224.018;      714693.087;       27113.978 ( 3.794 %);    106.751
      IKJ;         234.375;           0.229;           0.000;        100;         55;      211058.345;      222575.400;      213942.955;        2611.921 ( 1.221 %);    356.609
      IEX;         234.375;           0.229;           0.000;        100;         55;      210977.164;      340532.727;      235060.889;       29310.711 (12.469 %);    324.571
  UNROLL4;         234.375;           0.229;           0.000;        100;         55;      362477.327;      393819.055;      373365.840;        6924.913 ( 1.855 %);    204.341
  UNROLL8;         234.375;           0.229;           0.000;        100;         55;      357681.727;      448473.764;      370469.002;       17596.499 ( 4.750 %);    205.939
    CBLAS;         234.375;           0.229;           0.000;        100;         55;       42666.418;       49841.945;       44171.859;        1928.628 ( 4.366 %);   1727.207
