     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;      575899.291;      593341.091;      580203.225;        5027.167 ( 0.866 %);    131.495
       IKJ;         234.375;           0.229;           0.000;        100;         55;      556875.255;      567154.345;      558399.587;        2561.649 ( 0.459 %);    136.630
       IEX;         234.375;           0.229;           0.000;        100;         55;      367328.745;      383887.982;      371748.988;        3603.927 ( 0.969 %);    205.230
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;      179051.727;      182663.582;      180477.819;         598.421 ( 0.332 %);    422.733
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;      168290.455;      169279.418;      168952.075;         240.156 ( 0.142 %);    451.572
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135590.964;      137712.400;      135946.496;         342.899 ( 0.252 %);    561.206
