     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;      838199.291;      848851.982;      839772.671;        2670.769 ( 0.318 %);     90.851
       IKJ;         234.375;           0.229;           0.000;        100;         55;      177325.582;      178362.982;      177871.472;         315.621 ( 0.177 %);    428.927
       IEX;         234.375;           0.229;           0.000;        100;         55;      177211.745;      242775.036;      181292.889;       14612.737 ( 8.060 %);    420.833
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;      293550.236;      306944.636;      294383.385;        2389.183 ( 0.812 %);    259.165
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;      313480.527;      318729.273;      314553.194;         808.688 ( 0.257 %);    242.547
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135563.836;      164752.564;      137301.452;        5701.257 ( 4.152 %);    555.667
