title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac-BASE;          9.375;           0.009;           0.000;        600;        500;       18514.750;         769.204;         842.934;         779.613;          18.773 (2.408 %);   5871.682
Mac-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;       46178.256;         738.466;         925.740;         768.483;          36.765 (4.784 %);   5956.722
clang-BASE;        9.375;           0.009;           0.000;        600;        500;       28883.707;         393.436;         499.636;         397.788;          18.412 (4.629 %);  11507.721
clang-UNROLL-8;    9.375;           0.009;           0.000;        600;        500;      133828.076;         392.756;         400.772;         393.721;           2.447 (0.621 %);  11626.592
gcc-BASE;          9.375;           0.009;           0.000;        600;        500;       19357.162;         403.096;        1193.438;         427.948;         137.450 (32.118 %);  10696.712
gcc-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;       25446.147;         392.756;         401.372;         393.616;           1.999 (0.508 %);  11629.714
