title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       19357.162;         403.096;        1193.438;         427.948;         137.450 (32.118 %);  10696.712
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       25446.147;         392.756;         401.372;         393.616;           1.999 (0.508 %);  11629.714
