title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       18514.750;         769.204;         842.934;         779.613;          18.773 (2.408 %);   5871.682
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       46178.256;         738.466;         925.740;         768.483;          36.765 (4.784 %);   5956.722
