     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;     2543732.145;     2551127.091;     2545493.007;        1371.643 ( 0.054 %);     29.972
       IKJ;         234.375;           0.229;           0.000;        100;         55;     2268311.709;     2273236.582;     2269858.113;        1137.863 ( 0.050 %);     33.612
       IEX;         234.375;           0.229;           0.000;        100;         55;     1798917.218;     2106147.655;     1955004.549;      152894.936 ( 7.821 %);     39.025
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;     1644110.218;     1651613.745;     1648797.180;        1955.077 ( 0.119 %);     46.272
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;     1606782.055;     1610498.836;     1607975.068;         894.002 ( 0.056 %);     47.447
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135493.509;      138198.400;      135751.096;         448.324 ( 0.330 %);    562.013
