title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
clang-BASE;        9.375;           0.009;           0.000;        600;        500;        4169.815;          70.170;         218.750;          88.889;          48.472 (54.531 %);  51498.261
clang-UNROLL-8;    9.375;           0.009;           0.000;        600;        500;        7632.678;          70.392;         219.072;         137.220;          74.287 (54.137 %);  33359.895
gcc-BASE;          9.375;           0.009;           0.000;        600;        500;        3975.272;         194.664;         438.522;         250.660;         100.348 (40.034 %);  18262.361
gcc-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;        6091.159;         121.990;         141.166;         123.561;           3.781 (3.060 %);  37047.631
