title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;        3975.272;         194.664;         438.522;         250.660;         100.348 (40.034 %);  18262.361
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;        6091.159;         121.990;         141.166;         123.561;           3.781 (3.060 %);  37047.631
