title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       21585.813;          99.766;         311.746;         162.565;          96.483 (59.350 %);  28158.730
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       48015.202;         140.764;         184.286;         143.277;           7.494 (5.231 %);  31949.645
