title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       26923.291;         198.130;         615.614;         259.139;         139.159 (53.700 %);  17664.778
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       49945.976;         253.254;         261.050;         254.163;           2.218 (0.873 %);  18010.662
