title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
clang-BASE;        9.375;           0.009;           0.000;        600;        500;       21585.813;          99.766;         311.746;         162.565;          96.483 (59.350 %);  28158.730
clang-UNROLL-8;    9.375;           0.009;           0.000;        600;        500;       48015.202;         140.764;         184.286;         143.277;           7.494 (5.231 %);  31949.645
gcc-BASE;          9.375;           0.009;           0.000;        600;        500;       26923.291;         198.130;         615.614;         259.139;         139.159 (53.700 %);  17664.778
gcc-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;       49945.976;         253.254;         261.050;         254.163;           2.218 (0.873 %);  18010.662
