title;              KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac-BASE;           9.375;           0.009;           0.000;        600;        500;       32211.179;        1597.146;        2451.492;        1740.660;         159.072 (9.139 %);   2629.829
Mac-UNROLL-8;       9.375;           0.009;           0.000;        600;        500;       27157.129;        1257.244;        1623.340;        1475.261;         124.311 (8.426 %);   3102.934
clang-BASE;     9.375;           0.009;           0.000;        600;        500;       23075.926;        1513.278;        2949.470;        1563.257;         249.076 (15.933 %);   2928.268
clang-UNROLL-8; 9.375;           0.009;           0.000;        600;        500;       47703.039;        1515.340;        1530.430;        1518.920;           4.250 (0.280 %);   3013.745
gcc-BASE;       9.375;           0.009;           0.000;        600;        500;       48603.146;        1513.058;        2967.282;        1560.838;         252.512 (16.178 %);   2932.808
gcc-UNROLL-8;   9.375;           0.009;           0.000;        600;        500;       42034.874;        1512.254;        1533.796;        1514.797;           4.577 (0.302 %);   3021.947
