title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       48603.146;        1513.058;        2967.282;        1560.838;         252.512 (16.178 %);   2932.808
UNROLL-8;          9.375;           0.009;           0.000;        600;        500;       42034.874;        1512.254;        1533.796;        1514.797;           4.577 (0.302 %);   3021.947
