     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           9.375;           0.009;           0.000;        600;        500;       32211.179;        1597.146;        2451.492;        1740.660;         159.072 ( 9.139 %);   2629.829
  UNROLL_8;           9.375;           0.009;           0.000;        600;        500;       27157.129;        1257.244;        1623.340;        1475.261;         124.311 ( 8.426 %);   3102.934
