     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE(O0);           9.375;           0.009;           0.000;        600;        500;       32211.179;        1597.146;        2451.492;        1740.660;         159.072 ( 9.139 %);   2629.829
      BASE(O1);           9.375;           0.009;           0.000;        600;        500;       46161.550;         769.156;        1032.232;         802.411;          52.148 ( 6.499 %);   5704.856
      BASE(O2);           9.375;           0.009;           0.000;        600;        500;       18514.750;         769.204;         842.934;         779.613;          18.773 ( 2.408 %);   5871.682
      BASE(O3);           9.375;           0.009;           0.000;        600;        500;       15535.367;         770.602;         884.672;         780.901;          24.285 ( 3.110 %);   5861.996
