title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       97656.747;         403.778;        1255.152;         434.835;         148.701 (34.197 %);  10527.305
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       19591.888;         393.436;         400.252;         393.799;           1.399 (0.355 %);  11624.298
