title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;        5555.469;        1505.422;        4065.824;        1630.442;         495.866 (30.413 %);   2807.606
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;        4802.332;        1500.132;        1514.902;        1503.257;           3.661 (0.244 %);   3045.146
