     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;      838331.000;      842523.764;      839274.962;         854.052 ( 0.102 %);     90.905
       IKJ;         234.375;           0.229;           0.000;        100;         55;      177521.400;      178387.582;      178036.013;         205.805 ( 0.116 %);    428.531
       IEX;         234.375;           0.229;           0.000;        100;         55;      177481.509;      178391.764;      178060.598;         187.125 ( 0.105 %);    428.472
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;      291339.364;      291946.691;      291603.208;         140.425 ( 0.048 %);    261.636
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;      312975.382;      318520.691;      315850.749;        1882.138 ( 0.596 %);    241.551
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135715.564;      138659.636;      135975.113;         493.912 ( 0.363 %);    561.088
