     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
  UNROLL_8(O0);           9.375;           0.009;           0.000;        600;        500;        5897.147;        1498.986;        1761.954;        1583.536;          61.720 ( 3.898 %);   2890.770
  UNROLL_8(O1);           9.375;           0.009;           0.000;        600;        500;        4788.710;         733.204;         860.332;         745.387;          30.204 ( 4.052 %);   6141.286
  UNROLL_8(O2);           9.375;           0.009;           0.000;        600;        500;        7302.450;         710.654;         828.786;         739.755;          23.731 ( 3.208 %);   6188.043
  UNROLL_8(03);           9.375;           0.009;           0.000;        600;        500;        5395.659;         688.008;         788.844;         729.148;          23.313 ( 3.197 %);   6278.061
