     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           9.375;           0.009;           0.000;        600;        500;       16855.507;         742.910;         920.860;         763.408;          40.832 ( 5.349 %);   5996.319
  UNROLL_8;           9.375;           0.009;           0.000;        600;        500;        4788.710;         733.204;         860.332;         745.387;          30.204 ( 4.052 %);   6141.286
