     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;      602384.945;      642199.982;      611100.129;       12426.296 ( 2.033 %);    124.847
       IKJ;         234.375;           0.229;           0.000;        100;         55;      509891.527;      521468.145;      511597.827;        2712.941 ( 0.530 %);    149.129
       IEX;         234.375;           0.229;           0.000;        100;         55;      369521.036;      375077.109;      370215.694;         915.442 ( 0.247 %);    206.080
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;      328242.200;      332616.582;      330298.088;        1491.848 ( 0.452 %);    230.985
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;      330284.564;      331939.491;      330896.653;         362.160 ( 0.109 %);    230.567
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135662.182;      160898.964;      136906.533;        4473.715 ( 3.268 %);    557.270
