     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         55;      574316.691;      585921.345;      575932.672;        2309.801 ( 0.401 %);    132.470
       IKJ;         234.375;           0.229;           0.000;        100;         55;      323684.200;      332986.364;      327056.294;        3423.918 ( 1.047 %);    233.275
       IEX;         234.375;           0.229;           0.000;        100;         55;      328315.964;      340155.255;      334520.621;        2338.186 ( 0.699 %);    228.069
   UNROLL4;         234.375;           0.229;           0.000;        100;         55;      336833.036;      339730.836;      337443.320;         636.525 ( 0.189 %);    226.094
   UNROLL8;         234.375;           0.229;           0.000;        100;         55;      341556.618;      342215.127;      341836.145;         156.587 ( 0.046 %);    223.189
     CBLAS;         234.375;           0.229;           0.000;        100;         55;      135534.873;      138439.218;      135863.647;         490.693 ( 0.361 %);    561.548
