title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac-BASE;          9.375;           0.009;           0.000;        600;        500;       16855.507;         742.910;         920.860;         763.408;          40.832 (5.349 %);   5996.319
Mac-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;        4788.710;         733.204;         860.332;         745.387;          30.204 (4.052 %);   6141.286
clang-BASE;        9.375;           0.009;           0.000;        600;        500;       19534.979;         401.714;         904.316;         419.976;          87.245 (20.774 %);  10899.758
clang-UNROLL-8;    9.375;           0.009;           0.000;        600;        500;        4433.802;         392.076;         400.450;         393.638;           2.319 (0.589 %);  11629.046
gcc-BASE;          9.375;           0.009;           0.000;        600;        500;        3979.410;         401.252;        1250.364;         450.143;         170.226 (37.816 %);  10169.286
gcc-UNROLL-8;      9.375;           0.009;           0.000;        600;        500;        8763.305;         393.096;         402.234;         394.112;           2.534 (0.643 %);  11615.076
