title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;     1605965.673;     1667520.545;     1630857.616;       17363.228 ( 1.065 %);     46.781
Mac(O1);         234.375;           0.229;           0.000;        100;         55;      396792.782;      436819.691;      404640.341;        9904.749 ( 2.448 %);    188.548
Mac(O2);         234.375;           0.229;           0.000;        100;         55;      366771.982;      403023.855;      374879.483;        7925.474 ( 2.114 %);    203.516
Mac(O3);         234.375;           0.229;           0.000;        100;         55;      364051.091;      396634.582;      371668.993;        6424.100 ( 1.728 %);    205.274
Mac(OFast);         234.375;           0.229;           0.000;        100;         55;      357681.727;      448473.764;      370469.002;       17596.499 ( 4.750 %);    205.939
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;     1606782.055;     1610498.836;     1607975.068;         894.002 ( 0.056 %);     47.447
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      341556.618;      342215.127;      341836.145;         156.587 ( 0.046 %);    223.189
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      313480.527;      318729.273;      314553.194;         808.688 ( 0.257 %);    242.547
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      312975.382;      318520.691;      315850.749;        1882.138 ( 0.596 %);    241.551
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      310557.218;      316873.964;      314770.938;        2519.708 ( 0.800 %);    242.379
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;     2366349.727;     2413722.545;     2376980.212;       16127.042 ( 0.678 %);     32.097
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      330284.564;      331939.491;      330896.653;         362.160 ( 0.109 %);    230.567
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      168290.455;      169279.418;      168952.075;         240.156 ( 0.142 %);    451.572
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      166786.564;      167501.345;      167007.619;         127.664 ( 0.076 %);    456.829
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      166927.364;      167536.309;      167060.298;         119.051 ( 0.071 %);    456.685
