title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
BASE;              9.375;           0.009;           0.000;        600;        500;       43474.420;         393.436;         859.752;         408.678;          81.018 (19.825 %);  11201.091
UNROLL_8;          9.375;           0.009;           0.000;        600;        500;       25567.225;         392.756;         400.190;         393.376;           1.863 (0.474 %);  11636.786
